bay_id,st_marker_id,status,location,lat,lon
637,98E,Present,"(-37.8087483274348, 144.97196222823982)",-37.8087483274348,144.97196222823982
5326,7839W,Unoccupied,"(-37.82777151279123, 144.97113110275285)",-37.82777151279123,144.97113110275285
5342,8295W,Present,"(-37.82629355168099, 144.96779619470777)",-37.82629355168099,144.96779619470777
4564,8005W,Present,"(-37.830067730586045, 144.96917766129872)",-37.830067730586045,144.96917766129872
4048,C6134,Unoccupied,"(-37.80433912149271, 144.95240745773725)",-37.80433912149271,144.95240745773725
5314,7815W,Present,"(-37.829398163803255, 144.97103467262724)",-37.829398163803255,144.97103467262724
5611,12241S,Present,"(-37.8095421232241, 144.9747796995444)",-37.8095421232241,144.9747796995444
5043,9523S,Present,"(-37.82841695836075, 144.96618235502504)",-37.82841695836075,144.96618235502504
6351,13279S,Present,"(-37.82137538672006, 144.95054316929054)",-37.82137538672006,144.95054316929054
4041,C6120,Unoccupied,"(-37.80456232146689, 144.95236836462684)",-37.80456232146689,144.95236836462684
5021,9453S,Present,"(-37.83027811734948, 144.96585143464503)",-37.83027811734948,144.96585143464503
5035,9511S,Present,"(-37.82845408997369, 144.96637871858866)",-37.82845408997369,144.96637871858866
4052,C6142,Unoccupied,"(-37.80424667659473, 144.95242395142532)",-37.80424667659473,144.95242395142532
2031,3490N,Unoccupied,"(-37.81248535670949, 144.95765771835778)",-37.81248535670949,144.95765771835778
4999,9431S,Unoccupied,"(-37.830162601104306, 144.96625065428879)",-37.830162601104306,144.96625065428879
4826,9216N,Present,"(-37.83122603887038, 144.96651738447056)",-37.83122603887038,144.96651738447056
5332,7851W,Present,"(-37.82714658240661, 144.97114918635492)",-37.82714658240661,144.97114918635492
5041,9519S,Present,"(-37.82842941215759, 144.96624821453486)",-37.82842941215759,144.96624821453486
5015,9447S,Present,"(-37.8302463903357, 144.9659610829001)",-37.8302463903357,144.9659610829001
3144,5325W,Unoccupied,"(-37.810947743502595, 144.9559172696074)",-37.810947743502595,144.9559172696074
2480,C2854,Present,"(-37.810631680778755, 144.9678860489995)",-37.810631680778755,144.9678860489995
2032,3492N,Present,"(-37.81250402156282, 144.95759376468396)",-37.81250402156282,144.95759376468396
2344,3004N,Present,"(-37.81308979709492, 144.9591459900784)",-37.81308979709492,144.9591459900784
4833,9230N,Unoccupied,"(-37.83129988840992, 144.9662656667809)",-37.83129988840992,144.9662656667809
5094,9892N,Unoccupied,"(-37.82548123959146, 144.9688702200474)",-37.82548123959146,144.9688702200474
5013,9445S,Unoccupied,"(-37.83023599891012, 144.96599699646083)",-37.83023599891012,144.96599699646083
5321,7829W,Unoccupied,"(-37.82805262576258, 144.97110406201244)",-37.82805262576258,144.97110406201244
2195,3868N,Present,"(-37.81131729387184, 144.95769477004592)",-37.81131729387184,144.95769477004592
937,C756,Present,"(-37.81336122087638, 144.96835416664783)",-37.81336122087638,144.96835416664783
4848,9248N,Unoccupied,"(-37.82878349998097, 144.9705581410601)",-37.82878349998097,144.9705581410601
4859,9262N,Unoccupied,"(-37.82889407958439, 144.97018952912822)",-37.82889407958439,144.97018952912822
5030,9504N,Unoccupied,"(-37.828424510065915, 144.9666760482104)",-37.828424510065915,144.9666760482104
3408,6257S,Present,"(-37.807708853788455, 144.96630832170874)",-37.807708853788455,144.96630832170874
5352,8885W,Unoccupied,"(-37.824946075716575, 144.96111801948322)",-37.824946075716575,144.96111801948322
1963,3343S,Unoccupied,"(-37.8089945267468, 144.96976881685038)",-37.8089945267468,144.96976881685038
4865,9268N,Unoccupied,"(-37.82892561982128, 144.97008112535386)",-37.82892561982128,144.97008112535386
5156,9982N,Unoccupied,"(-37.82606224378439, 144.96689826739038)",-37.82606224378439,144.96689826739038
5728,12410N,Present,"(-37.81084267892859, 144.9774676217727)",-37.81084267892859,144.9774676217727
4577,8018E,Unoccupied,"(-37.82953407573397, 144.96905443417953)",-37.82953407573397,144.96905443417953
4867,9272N,Unoccupied,"(-37.828947194284616, 144.97000692703705)",-37.828947194284616,144.97000692703705
4818,9198N,Unoccupied,"(-37.8311136803044, 144.96690094365027)",-37.8311136803044,144.96690094365027
5048,9825S,Present,"(-37.82517115546032, 144.97030193192643)",-37.82517115546032,144.97030193192643
5055,9832N,Present,"(-37.825087851297596, 144.97021798093562)",-37.825087851297596,144.97021798093562
5053,9830N,Present,"(-37.82507968224333, 144.97024563346383)",-37.82507968224333,144.97024563346383
5141,9954N,Unoccupied,"(-37.82592948022416, 144.96735258761117)",-37.82592948022416,144.96735258761117
2583,C3156,Present,"(-37.81387240617708, 144.95677300379901)",-37.81387240617708,144.95677300379901
6176,13242N,Unoccupied,"(-37.819613851850605, 144.9442484098157)",-37.819613851850605,144.9442484098157
6050,13022N,Unoccupied,"(-37.82109685822127, 144.94683466478386)",-37.82109685822127,144.94683466478386
1984,3400N,Unoccupied,"(-37.810053594578946, 144.96596691289426)",-37.810053594578946,144.96596691289426
4827,9218N,Present,"(-37.83123656108052, 144.9664815208715)",-37.83123656108052,144.9664815208715
4970,9399S,Unoccupied,"(-37.829871638398984, 144.96725797382345)",-37.829871638398984,144.96725797382345
5046,9823S,Unoccupied,"(-37.82515288496929, 144.9703650031805)",-37.82515288496929,144.9703650031805
4020,C6078,Unoccupied,"(-37.80511895740059, 144.952268958752)",-37.80511895740059,144.952268958752
5019,9451S,Present,"(-37.83026756056421, 144.96588792030695)",-37.83026756056421,144.96588792030695
